"match_id","volunteer_id","elderly_id","match_score","acceptance_probability"
2,941,246,0.970081833540462,0.986330376805818
7,990,630,0.921303295064718,0.999998585025089
34,899,528,0.686674429220147,0.999999914457067
60,808,739,0.733309236238711,0.960174077189363
65,185,35,0.639400539570488,0.99999789674854
72,178,217,0.868272976833396,0.999984703673767
74,224,302,0.746661363984458,0.999997880565373
75,646,580,0.931638226029463,0.998966312520293
87,934,197,0.815397700527683,0.999905058722775
103,835,710,0.518357858527452,0.999999128334991
107,780,54,0.905492249061354,0.999810230568481
108,351,426,0.512527941493317,0.999992927800222
109,854,727,0.960785161354579,0.988333009803922
132,514,932,0.882378669572063,0.833481719892391
134,484,28,0.641579239512794,0.999844658836739
146,244,451,0.716611520852894,0.999836978745391
161,774,779,0.689076255774125,0.999999998003184
165,57,624,0.752410558983684,0.710711796251396
169,125,589,0.852537873783149,0.999999999986924
170,369,61,0.636637739487924,0.99998775332496
173,553,311,0.690110793570057,0.999999929088471
179,655,698,0.561001090914942,0.999999334655694
190,32,853,0.867338344105519,0.999910424563253
214,108,883,0.559632832650095,0.884990283238745
216,184,633,0.936189580708742,0.99998682955796
221,339,386,0.591423271573149,0.964577502270442
222,643,566,0.641583925578743,0.999946352814732
240,683,933,0.620431016315706,0.995591644421482
243,144,669,0.854770993813872,0.981913822017655
247,143,342,0.547361491364427,0.999974325797816
250,508,462,0.614365626010112,0.99999999999478
268,337,921,0.675607412820682,0.999853986867463
271,975,965,0.90756973088719,0.999999999530181
280,516,913,0.60940370708704,0.999770459870575
281,985,225,0.688150139525533,0.816078714226095
295,362,562,0.656271671759896,0.989634108580598
297,594,53,0.625522039830685,0.999963641745364
299,232,548,0.571432286757044,0.999999978093463
300,181,580,0.717677247943357,0.993370096866047
301,934,908,0.519600717234425,0.864343255108462
304,909,551,0.656449165777303,0.999986501837685
309,740,855,0.627479988033883,0.995755459122276
314,919,745,0.805304068489932,0.999011319878553
329,179,716,0.89226574532222,1
331,36,780,0.819014664273709,0.993938121729653
341,193,266,0.813574318657629,0.99952237400495
345,701,162,0.57006394979544,0.969653816296932
349,745,769,0.912094671279192,0.972898393987617
355,484,492,0.730377822183073,0.909434664085346
357,661,287,0.645953370723873,0.938724749516771
361,83,552,0.948554244707339,0.999883938670277
364,234,640,0.891365140676498,0.999572004080749
368,1,328,0.79643733787816,1
375,953,776,0.742084598401561,0.999918624020315
382,767,910,0.798265151795931,1
383,481,345,0.912579729571007,0.999998477190512
384,456,756,0.524381273891777,0.999999925224397
386,654,384,0.544028274831362,0.999999999132271
396,682,449,0.578103300766088,0.99999810811801
403,182,602,0.799062582780607,0.999999947999322
405,859,52,0.512112386291847,0.999999999955755
408,802,623,0.585090590757318,0.889059759204057
410,320,455,0.557887046132237,0.999993974051946
413,447,725,0.927859380841255,0.99434962945955
419,913,950,0.902349810232408,0.925809659784225
429,477,979,0.520556731848046,0.963179824245414
442,795,902,0.891061911359429,0.99999997585473
444,322,335,0.847532226820476,0.999999999656204
448,658,265,0.658835068694316,0.892264329706657
451,213,979,0.540144448168576,0.999999999990361
461,427,430,0.993129570502788,0.83333094331706
462,720,831,0.860691784997471,0.999786199038211
464,335,753,0.821701633860357,0.999999297291446
465,607,545,0.582674087258056,0.999887468413912
468,575,122,0.951071885065176,0.999383236592926
478,852,293,0.641210044035688,0.999994380799588
487,839,231,0.785660933936015,0.99182999070034
518,339,871,0.983391662477516,0.999999998944282
519,476,621,0.69291055353824,0.970109535885306
523,373,199,0.623372263507918,0.999933333123766
533,254,486,0.500416450784542,0.999999425578755
534,833,162,0.878655898966826,0.99871051699947
546,503,763,0.62861837062519,0.999972606944157
554,700,743,0.563490221044049,0.997280973996253
559,851,379,0.580658906837925,0.999999739820886
562,818,162,0.612881168257445,0.999999740166928
577,401,409,0.904866552911699,0.999999875411376
583,698,324,0.69600828725379,0.999685067253172
587,260,388,0.949642249499448,0.999860715002936
590,724,459,0.69623708690051,0.998142670645784
598,709,590,0.633343631518073,0.934793172262253
623,808,873,0.724575292086229,0.99983642314285
646,745,395,0.913417070638388,0.999999999960173
659,321,868,0.953067717025988,0.999005243705874
664,707,883,0.760978596517816,0.940304782451826
672,737,942,0.986484973924235,0.999999997753168
675,272,718,0.543452785117552,0.74427730495199
688,729,916,0.604792387108319,0.987435187042121
692,908,637,0.827666133176535,0.930873757111525
696,593,456,0.689208209631033,0.721931512197259
701,693,192,0.868853974039666,0.998259314197441
710,560,293,0.974249449558556,0.999899199200387
717,214,88,0.607219744939357,0.999998307416264
722,259,811,0.52811456634663,0.999218157547554
723,312,744,0.605599285801873,0.999998517161685
726,295,343,0.750845784903504,0.99978158707447
727,438,519,0.937560172867961,0.999999937876974
730,972,536,0.865105595556088,0.998458437935584
741,795,372,0.988679062342271,0.999999999725909
751,155,924,0.985306450282224,0.999151828748891
775,765,169,0.738777236430906,0.999999999973174
790,936,937,0.831446987343952,0.992498334566997
799,305,594,0.59356792352628,0.920043089752081
806,979,279,0.707112047937699,0.965335903813788
810,920,826,0.591239083558321,0.99993953653072
816,768,486,0.874471280956641,0.990797225333132
830,194,70,0.579771387856454,0.999999764056495
832,223,725,0.940096729085781,0.997207590546538
838,995,754,0.728454681811854,0.997710247997583
850,515,26,0.688211386092007,0.99971032018861
857,55,438,0.642627467634156,0.991048989918089
861,60,907,0.957372208475135,0.999999999987187
870,768,703,0.858555124956183,0.999748947576787
871,949,335,0.515289548435248,0.999944506641078
875,954,941,0.736166348331608,0.999831242058462
876,397,845,0.652857508976012,0.996545221069223
877,317,734,0.720896863029338,0.956669575168177
891,479,315,0.568995606503449,0.999715354607419
897,976,236,0.695129255880602,1
907,933,580,0.693916392629035,0.974078433876217
917,149,723,0.836791157489643,0.999989356260318
923,726,922,0.79320420732256,0.999965381039793
931,442,655,0.947836004430428,0.996023733405354
953,13,379,0.569247908773832,0.999986886569045
959,414,352,0.956970832892694,0.999999999994233
960,717,247,0.766883551958017,0.999999372554712
961,645,619,0.930735235684551,0.965800058194298
964,248,889,0.799232805031352,0.999740723884584
969,923,971,0.890096522052772,0.99999542892918
971,214,314,0.668986004195176,0.999999061811594
983,248,908,0.629596507991664,0.999964244481786
990,864,776,0.927101319772191,0.999993460461261
